suite,backbone,dataset,variant,method_label,failure_mode,failure_rate,rmse_avg_mean,rmse_avg_std,rmse_avg_n,rmse_worst_mean,rmse_worst_std,rmse_worst_n,mae_avg_mean,mae_avg_std,mae_avg_n,mae_worst_mean,mae_worst_std,mae_worst_n,uplink_mb_mean,uplink_mb_std,uplink_mb_n,runtime_sec_total_mean,runtime_sec_total_std,runtime_sec_total_n,valid_return_rate_mean,valid_return_rate_std,valid_return_rate_n,wasted_assigned_step_ratio_mean,wasted_assigned_step_ratio_std,wasted_assigned_step_ratio_n,returned_assigned_step_ratio_mean,returned_assigned_step_ratio_std,returned_assigned_step_ratio_n,empty_return_rounds_mean,empty_return_rounds_std,empty_return_rounds_n,num_parameters_mean,num_parameters_std,num_parameters_n
main,gru,Beijing_AQI,hetero,qFedAvg,none,0.0,0.4643657642889133,0.001950869571034266,10,0.6723665372486936,0.008946515446791441,10,0.22198631208402614,0.0016543141345535658,10,0.25790195256131115,0.002278276711541376,10,97.43728637695312,0.0,10,93.31428226999705,13.726655250635858,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,42571.0,0.0,10
main,gru,Beijing_AQI,hetero,Random,none,0.0,0.46519882745197016,0.0022952081476429386,20,0.6763312727282311,0.009697404198835828,20,0.22170098958376627,0.0013305171025157771,20,0.25747461280795003,0.001979230250167522,20,79.24899291992188,0.0,20,72.16978752000287,12.746456907598192,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,42571.0,0.0,20
main,gru,Beijing_AQI,mcar_p10,CoRA-Core,none,0.0,0.4961685525430816,0.0031504761324148397,20,0.6966838227057786,0.0034720478888865067,20,0.21205438384466474,0.0009036004886092294,20,0.2290312234477212,0.0008832552883865359,20,79.24899291992188,0.0,20,73.15897812999756,12.162557162868861,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,42571.0,0.0,20
main,gru,Beijing_AQI,mcar_p10,CoRA-StepAlloc,none,0.0,0.4961282330059946,0.0030957802591124717,20,0.6966785369234676,0.0034317367557958334,20,0.21200755454876474,0.0008951203449100192,20,0.22901908621186537,0.0008775204487868023,20,79.24899291992188,0.0,20,71.91710911499831,8.894001798564876,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,42571.0,0.0,20
main,gru,Beijing_AQI,mcar_p10,FedAvg,none,0.0,0.4957507958937173,0.002848078143128244,10,0.6963909845943634,0.00283176261089601,10,0.21182157267677965,0.0012991816475798352,10,0.22879837503222636,0.0013208665497109967,10,97.43728637695312,0.0,10,96.70728677000152,15.400025098479986,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,42571.0,0.0,10
main,gru,Beijing_AQI,mcar_p10,FedProx,none,0.0,0.503365276370809,0.002562197534128976,10,0.7037353178342283,0.0028311744015624696,10,0.21927767158508193,0.0013871975266690545,10,0.23605216862974418,0.0014396465311026533,10,97.43728637695312,0.0,10,128.80773178000237,18.410333763702376,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,42571.0,0.0,10
main,gru,Beijing_AQI,mcar_p10,LocalOnly,none,0.0,,,0,,,0,,,0,,,0,0.0,0.0,10,95.75727709999774,11.441312596272239,10,,,0,,,0,,,0,,,0,,,0
main,gru,Beijing_AQI,mcar_p10,qFedAvg,none,0.0,0.49559513083489903,0.0028075017497485393,10,0.6961469484630827,0.0028245831339862412,10,0.21194001956395137,0.0013226050551248044,10,0.22890142337651267,0.0013348748423672118,10,97.43728637695312,0.0,10,101.83701080999454,13.96311028223264,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,42571.0,0.0,10
main,gru,Beijing_AQI,mcar_p10,Random,none,0.0,0.4963674706620809,0.003157793519101488,20,0.696996937173805,0.003510266690197314,20,0.21189815832681957,0.0009540651334030252,20,0.22891208764114462,0.0009813930710534538,20,79.24899291992188,0.0,20,74.34310881499405,14.945484975508528,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,42571.0,0.0,20
main,gru,ETTm1,hetero,CoRA-Core,none,0.0,0.31393545614551716,0.0033035790844220905,20,0.5220852904151279,0.017724888851207255,20,0.20823764956634064,0.0026853575163613246,20,0.34072897886777953,0.009892069607056679,20,120.70236206054688,0.0,20,102.26318200999667,16.667167945887076,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,40775.0,0.0,20
main,gru,ETTm1,hetero,CoRA-StepAlloc,none,0.0,0.31405534618538455,0.003347416005215365,20,0.5248535023137432,0.017584595002434603,20,0.20822626308479447,0.002770668679403038,20,0.3413051667976616,0.009980050423803502,20,120.70236206054688,0.0,20,100.40738504999754,15.577796391312786,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,40775.0,0.0,20
main,gru,ETTm1,hetero,FedAvg,none,0.0,0.3133255032376097,0.0027167479853393954,10,0.5303372004005856,0.018501725488497857,10,0.2072116241380916,0.0023847957391167564,10,0.3420486674598462,0.007286500429723224,10,155.54428100585938,0.0,10,141.80603896001702,17.693937123512367,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,40775.0,0.0,10
